move_index,combined_total,player_1_total,player_1_tr,player_1_awards,player_1_milestones,player_1_cities,player_1_greeneries,player_1_cards,player_2_total,player_2_tr,player_2_awards,player_2_milestones,player_2_cities,player_2_greeneries,player_2_cards
0,40,20,20,0,0,0,0,0,20,20,0,0,0,0,0
1,41,21,21,0,0,0,0,0,20,20,0,0,0,0,0
2,41,21,21,0,0,0,0,0,20,20,0,0,0,0,0
3,42,22,22,0,0,0,0,0,20,20,0,0,0,0,0
4,42,22,22,0,0,0,0,0,20,20,0,0,0,0,0
5,42,22,22,0,0,0,0,0,20,20,0,0,0,0,0
6,43,23,22,0,0,0,1,0,20,20,0,0,0,0,0
7,44,24,23,0,0,0,1,0,20,20,0,0,0,0,0
8,44,24,23,0,0,0,1,0,20,20,0,0,0,0,0
9,44,24,23,0,0,0,1,0,20,20,0,0,0,0,0
10,44,24,23,0,0,0,1,0,20,20,0,0,0,0,0
11,44,24,23,0,0,0,1,0,20,20,0,0,0,0,0
12,46,26,25,0,0,0,1,0,20,20,0,0,0,0,0
13,47,27,25,0,0,0,2,0,20,20,0,0,0,0,0
14,48,28,26,0,0,0,2,0,20,20,0,0,0,0,0
15,48,28,26,0,0,0,2,0,20,20,0,0,0,0,0
16,48,28,26,0,0,0,2,0,20,20,0,0,0,0,0
17,50,28,26,0,0,0,2,0,22,20,0,0,2,0,0
18,50,28,26,0,0,0,2,0,22,20,0,0,2,0,0
19,50,28,26,0,0,0,2,0,22,20,0,0,2,0,0
20,50,28,26,0,0,0,2,0,22,20,0,0,2,0,0
21,50,28,26,0,0,0,2,0,22,20,0,0,2,0,0
22,50,28,26,0,0,0,2,0,22,20,0,0,2,0,0
23,49,28,26,0,0,0,2,0,21,20,0,0,2,0,-1
24,50,28,26,0,0,0,2,0,22,21,0,0,2,0,-1
25,50,28,26,0,0,0,2,0,22,21,0,0,2,0,-1
26,50,28,26,0,0,0,2,0,22,21,0,0,2,0,-1
27,50,28,26,0,0,0,2,0,22,21,0,0,2,0,-1
28,50,28,26,0,0,0,2,0,22,21,0,0,2,0,-1
29,50,28,26,0,0,0,2,0,22,21,0,0,2,0,-1
30,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
31,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
32,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
33,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
34,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
35,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
36,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
37,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
38,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
39,51,28,26,0,0,0,2,0,23,22,0,0,2,0,-1
40,50,28,26,0,0,0,2,0,22,22,0,0,2,0,-2
41,50,28,26,0,0,0,2,0,22,22,0,0,2,0,-2
42,50,28,26,0,0,0,2,0,22,22,0,0,2,0,-2
43,50,28,26,0,0,0,2,0,22,22,0,0,2,0,-2
44,51,28,26,0,0,0,2,0,23,23,0,0,2,0,-2
45,51,28,26,0,0,0,2,0,23,23,0,0,2,0,-2
46,51,28,26,0,0,0,2,0,23,23,0,0,2,0,-2
47,51,28,26,0,0,0,2,0,23,23,0,0,2,0,-2
48,51,28,26,0,0,0,2,0,23,23,0,0,2,0,-2
49,52,29,27,0,0,0,2,0,23,23,0,0,2,0,-2
50,52,29,27,0,0,0,2,0,23,23,0,0,2,0,-2
